,NTAName,LI - Not Losing Low Income Households,MHI - At Risk of Exclusion,MHI - Not Losing Low Income Households,LI - At Risk of Gentrification and/or Displacement,MHI - Advanced Exclusion,MHI - Advanced Gentrification,MHI - Ongoing Exclusion,LI - Ongoing Gentrification and/or Displacement,total
89,Jamaica Estates-Holliswood,0.260869565217,0.08695652173910001,0.34782608695699996,0.0434782608696,0.08695652173910001,0.0,0.08695652173910001,0.08695652173910001,23.0
90,Kensington-Ocean Parkway,0.0,0.052631578947400004,0.052631578947400004,0.368421052632,0.157894736842,0.105263157895,0.052631578947400004,0.210526315789,19.0
91,Kew Gardens,0.190476190476,0.0952380952381,0.0952380952381,0.23809523809500002,0.14285714285700002,0.23809523809500002,0.0,0.0,21.0
92,Kew Gardens Hills,0.444444444444,0.0,0.388888888889,0.0555555555556,0.111111111111,0.0,0.0,0.0,18.0
93,Kingsbridge Heights,0.210526315789,0.052631578947400004,0.105263157895,0.263157894737,0.0,0.052631578947400004,0.0,0.315789473684,19.0
94,Laurelton,0.105263157895,0.052631578947400004,0.578947368421,0.0,0.210526315789,0.0,0.052631578947400004,0.0,19.0
95,Lenox Hill-Roosevelt Island,0.052631578947400004,0.210526315789,0.47368421052599996,0.0,0.157894736842,0.052631578947400004,0.052631578947400004,0.0,19.0
96,Lincoln Square,0.0,0.0769230769231,0.0769230769231,0.0,0.692307692308,0.0,0.0,0.153846153846,13.0
97,Lindenwood-Howard Beach,0.38461538461499994,0.0769230769231,0.307692307692,0.0769230769231,0.153846153846,0.0,0.0,0.0,13.0
98,Longwood,0.117647058824,0.0,0.0,0.35294117647100004,0.0,0.117647058824,0.0,0.41176470588200004,17.0
99,Lower East Side,0.12,0.04,0.0,0.12,0.08,0.08,0.0,0.56,25.0
100,Madison,0.34375,0.125,0.1875,0.03125,0.15625,0.03125,0.0625,0.0625,32.0
101,Manhattanville,0.181818181818,0.0,0.0909090909091,0.0909090909091,0.0,0.0,0.0,0.636363636364,11.0
102,Marble Hill-Inwood,0.14285714285700002,0.0,0.214285714286,0.357142857143,0.0,0.07142857142860001,0.0,0.214285714286,14.0
